TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,Error_Rate,Balanced_Acc,TSS,HSS,AUC,Brier_Score,BSS,Fold
16,41,9,11,27,50,0.5925925925925926,0.82,0.18,0.4074074074074074,0.64,0.5925925925925926,0.6153846153846153,0.7402597402597403,0.2597402597402597,0.7062962962962962,0.41259259259259257,0.41974378296910325,0.7799999999999999,0.17890119541557428,0.2142924536156,1
17,45,4,11,28,49,0.6071428571428571,0.9183673469387755,0.08163265306122448,0.39285714285714285,0.8095238095238095,0.6071428571428571,0.6938775510204083,0.8051948051948052,0.19480519480519481,0.7627551020408163,0.5255102040816326,0.555256064690027,0.8258017492711369,0.1496599265641095,0.35325531734795523,2
14,43,9,11,25,52,0.56,0.8269230769230769,0.17307692307692307,0.44,0.6086956521739131,0.56,0.5833333333333334,0.7402597402597403,0.2597402597402597,0.6934615384615385,0.386923076923077,0.39512961508248234,0.7530769230769231,0.1929146218555556,0.12016092847570048,3
14,51,4,8,22,55,0.6363636363636364,0.9272727272727272,0.07272727272727272,0.36363636363636365,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.8441558441558441,0.15584415584415584,0.7818181818181817,0.5636363636363636,0.5961538461538461,0.9016528925619834,0.1195343322888698,0.41428177178453796,4
18,43,6,10,28,49,0.6428571428571429,0.8775510204081632,0.12244897959183673,0.35714285714285715,0.75,0.6428571428571429,0.6923076923076924,0.7922077922077922,0.2077922077922078,0.7602040816326531,0.5204081632653061,0.5368421052631579,0.8811953352769679,0.14100010574805033,0.39067811444592526,5
15,40,4,18,33,44,0.45454545454545453,0.9090909090909091,0.09090909090909091,0.5454545454545454,0.7894736842105263,0.45454545454545453,0.5769230769230769,0.7142857142857143,0.2857142857142857,0.6818181818181818,0.36363636363636365,0.384,0.7775482093663912,0.19193940715124153,0.2162474207990971,6
17,44,6,10,27,50,0.6296296296296297,0.88,0.12,0.37037037037037035,0.7391304347826086,0.6296296296296297,0.68,0.7922077922077922,0.2077922077922078,0.7548148148148148,0.5096296296296297,0.5276073619631901,0.8785185185185185,0.1483034547282118,0.3486731977158758,7
6,51,6,14,20,57,0.3,0.8947368421052632,0.10526315789473684,0.7,0.5,0.3,0.37499999999999994,0.7402597402597403,0.2597402597402597,0.5973684210526315,0.19473684210526315,0.22379032258064516,0.7868421052631579,0.1676463288123594,0.12809203199256214,8
16,39,6,15,31,45,0.5161290322580645,0.8666666666666667,0.13333333333333333,0.4838709677419355,0.7272727272727273,0.5161290322580645,0.6037735849056604,0.7236842105263158,0.27631578947368424,0.6913978494623656,0.3827956989247312,0.4009009009009009,0.7885304659498208,0.19650246430960505,0.18638119437112632,9
15,44,5,12,27,49,0.5555555555555556,0.8979591836734694,0.10204081632653061,0.4444444444444444,0.75,0.5555555555555556,0.6382978723404256,0.7763157894736842,0.2236842105263158,0.7267573696145124,0.45351473922902497,0.48154093097913325,0.8631897203325775,0.14464072236335354,0.36852243962907794,10
